Year,State,Votes
1984,Virginia,12
1988,Virginia,12
1992,Virginia,13
1996,Virginia,13
2000,Virginia,13
2004,Virginia,13
2008,Virginia,13
2012,Virginia,13
2016,Virginia,13
2020,Virginia,13
1788,Washington,
1792,Washington,
1796,Washington,
1800,Washington,
1804,Washington,
1808,Washington,
1812,Washington,
1816,Washington,
1820,Washington,
1824,Washington,
1828,Washington,
1832,Washington,
1836,Washington,
1840,Washington,
1844,Washington,
1848,Washington,
1852,Washington,
1856,Washington,
1860,Washington,
1864,Washington,
1868,Washington,
1872,Washington,
1876,Washington,
1880,Washington,
1884,Washington,
1888,Washington,
1892,Washington,4
1896,Washington,4
1900,Washington,4
1904,Washington,5
1908,Washington,5
1912,Washington,7
1916,Washington,7
1920,Washington,7
1924,Washington,7
1928,Washington,7
1932,Washington,8
1936,Washington,8
1940,Washington,8
1944,Washington,8
1948,Washington,8
1952,Washington,9
1956,Washington,9
1960,Washington,9
1964,Washington,9
1968,Washington,9
1972,Washington,9
1976,Washington,9
1980,Washington,9
1984,Washington,10
1988,Washington,10
1992,Washington,11
1996,Washington,11
2000,Washington,11
2004,Washington,11
2008,Washington,11
2012,Washington,12
2016,Washington,12
2020,Washington,12
1788,West Virginia,
1792,West Virginia,
1796,West Virginia,
1800,West Virginia,
1804,West Virginia,
1808,West Virginia,
1812,West Virginia,
1816,West Virginia,
1820,West Virginia,
1824,West Virginia,
1828,West Virginia,
1832,West Virginia,
1836,West Virginia,
1840,West Virginia,
1844,West Virginia,
1848,West Virginia,
1852,West Virginia,
1856,West Virginia,
1860,West Virginia,
1864,West Virginia,5
1868,West Virginia,5
1872,West Virginia,5
1876,West Virginia,5
1880,West Virginia,5
1884,West Virginia,6
1888,West Virginia,6
1892,West Virginia,6
1896,West Virginia,6
1900,West Virginia,6
1904,West Virginia,7
1908,West Virginia,7
1912,West Virginia,8
1916,West Virginia,8
1920,West Virginia,8
1924,West Virginia,8
1928,West Virginia,8
1932,West Virginia,8
1936,West Virginia,8
1940,West Virginia,8
1944,West Virginia,8
1948,West Virginia,8
1952,West Virginia,8
1956,West Virginia,8
1960,West Virginia,8
1964,West Virginia,7
1968,West Virginia,7
1972,West Virginia,6
1976,West Virginia,6
1980,West Virginia,6
1984,West Virginia,6
1988,West Virginia,6
1992,West Virginia,5
1996,West Virginia,5
2000,West Virginia,5
2004,West Virginia,5
2008,West Virginia,5
2012,West Virginia,5
2016,West Virginia,5
2020,West Virginia,5
1788,Wisconsin,
1792,Wisconsin,
1796,Wisconsin,
1800,Wisconsin,
1804,Wisconsin,
1808,Wisconsin,
1812,Wisconsin,
1816,Wisconsin,
1820,Wisconsin,
1824,Wisconsin,
1828,Wisconsin,
1832,Wisconsin,
1836,Wisconsin,
1840,Wisconsin,
1844,Wisconsin,
1848,Wisconsin,4
1852,Wisconsin,5
1856,Wisconsin,5
1860,Wisconsin,5
1864,Wisconsin,8
1868,Wisconsin,8
1872,Wisconsin,10
1876,Wisconsin,10
1880,Wisconsin,10
1884,Wisconsin,11
1888,Wisconsin,11
1892,Wisconsin,12
1896,Wisconsin,12
1900,Wisconsin,12
1904,Wisconsin,13
1908,Wisconsin,13
1912,Wisconsin,13
1916,Wisconsin,13
1920,Wisconsin,13
1924,Wisconsin,13
1928,Wisconsin,13
1932,Wisconsin,12
1936,Wisconsin,12
1940,Wisconsin,12
1944,Wisconsin,12
1948,Wisconsin,12
1952,Wisconsin,12
1956,Wisconsin,12
1960,Wisconsin,12
1964,Wisconsin,12
1968,Wisconsin,12
1972,Wisconsin,11
1976,Wisconsin,11
1980,Wisconsin,11
1984,Wisconsin,11
1988,Wisconsin,11
1992,Wisconsin,11
1996,Wisconsin,11
2000,Wisconsin,11
2004,Wisconsin,10
2008,Wisconsin,10
2012,Wisconsin,10
2016,Wisconsin,10
2020,Wisconsin,10
1788,Wyoming,
1792,Wyoming,
1796,Wyoming,
1800,Wyoming,
1804,Wyoming,
1808,Wyoming,
1812,Wyoming,
1816,Wyoming,
1820,Wyoming,
1824,Wyoming,
1828,Wyoming,
1832,Wyoming,
1836,Wyoming,
1840,Wyoming,
1844,Wyoming,
1848,Wyoming,
1852,Wyoming,
1856,Wyoming,
1860,Wyoming,
1864,Wyoming,
1868,Wyoming,
1872,Wyoming,
1876,Wyoming,
1880,Wyoming,
1884,Wyoming,
1888,Wyoming,
1892,Wyoming,3
1896,Wyoming,3
1900,Wyoming,3
1904,Wyoming,3
1908,Wyoming,3
1912,Wyoming,3
1916,Wyoming,3
1920,Wyoming,3
1924,Wyoming,3
1928,Wyoming,3
1932,Wyoming,3
1936,Wyoming,3
1940,Wyoming,3
1944,Wyoming,3
1948,Wyoming,3
1952,Wyoming,3
1956,Wyoming,3
1960,Wyoming,3
1964,Wyoming,3
1968,Wyoming,3
1972,Wyoming,3
1976,Wyoming,3
1980,Wyoming,3
1984,Wyoming,3
1988,Wyoming,3
1992,Wyoming,3
1996,Wyoming,3
2000,Wyoming,3
2004,Wyoming,3
2008,Wyoming,3
2012,Wyoming,3
2016,Wyoming,3
2020,Wyoming,3
